Creative Commons Attribution Share Alike 4.0 International,CC-BY-SA-4.0,FSF Libre,NON-OSI Approved,,License Text
Creative Commons Zero v1.0 Universal,CC0-1.0,FSF Libre,NON-OSI Approved,,License Text
Common Development and Distribution License 1.0,CDDL-1.0,FSF Libre,OSI Approved,,License Text
Common Development and Distribution License 1.1,CDDL-1.1,NON-FSF Libre,NON-OSI Approved,,License Text
Community Data License Agreement Permissive 1.0,CDLA-Permissive-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
Community Data License Agreement Sharing 1.0,CDLA-Sharing-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
CeCILL Free Software License Agreement v1.0,CECILL-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
CeCILL Free Software License Agreement v1.1,CECILL-1.1,NON-FSF Libre,NON-OSI Approved,,License Text
CeCILL Free Software License Agreement v2.0,CECILL-2.0,FSF Libre,NON-OSI Approved,,License Text
CeCILL Free Software License Agreement v2.1,CECILL-2.1,NON-FSF Libre,OSI Approved,,License Text
CeCILL-B Free Software License Agreement,CECILL-B,FSF Libre,NON-OSI Approved,,License Text
CeCILL-C Free Software License Agreement,CECILL-C,FSF Libre,NON-OSI Approved,,License Text
Clarified Artistic License,ClArtistic,FSF Libre,NON-OSI Approved,,License Text
CNRI Jython License,CNRI-Jython,NON-FSF Libre,NON-OSI Approved,,License Text
CNRI Python Open Source GPL Compatible License Agreement,CNRI-Python-GPL-Compatible,NON-FSF Libre,NON-OSI Approved,,License Text
CNRI Python License,CNRI-Python,NON-FSF Libre,OSI Approved,,License Text
Condor Public License v1.1,Condor-1.1,FSF Libre,NON-OSI Approved,,License Text
Common Public Attribution License 1.0,CPAL-1.0,FSF Libre,OSI Approved,,License Text
Common Public License 1.0,CPL-1.0,FSF Libre,OSI Approved,,License Text
Code Project Open License 1.02,CPOL-1.02,NON-FSF Libre,NON-OSI Approved,,License Text
Crossword License,Crossword,NON-FSF Libre,NON-OSI Approved,,License Text
CrystalStacker License,CrystalStacker,NON-FSF Libre,NON-OSI Approved,,License Text
CUA Office Public License v1.0,CUA-OPL-1.0,NON-FSF Libre,OSI Approved,,License Text
Cube License,Cube,NON-FSF Libre,NON-OSI Approved,,License Text
curl License,curl,NON-FSF Libre,NON-OSI Approved,,License Text
Deutsche Freie Software Lizenz,D-FSL-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
diffmark license,diffmark,NON-FSF Libre,NON-OSI Approved,,License Text
DOC License,DOC,NON-FSF Libre,NON-OSI Approved,,License Text
Dotseqn License,Dotseqn,NON-FSF Libre,NON-OSI Approved,,License Text
DSDP License,DSDP,NON-FSF Libre,NON-OSI Approved,,License Text
dvipdfm License,dvipdfm,NON-FSF Libre,NON-OSI Approved,,License Text
Educational Community License v1.0,ECL-1.0,NON-FSF Libre,OSI Approved,,License Text
Educational Community License v2.0,ECL-2.0,FSF Libre,OSI Approved,,License Text
Eiffel Forum License v1.0,EFL-1.0,NON-FSF Libre,OSI Approved,,License Text
Eiffel Forum License v2.0,EFL-2.0,FSF Libre,OSI Approved,,License Text
eGenix.com Public License 1.1.0,eGenix,NON-FSF Libre,NON-OSI Approved,,License Text
Entessa Public License v1.0,Entessa,NON-FSF Libre,OSI Approved,,License Text
Eclipse Public License 1.0,EPL-1.0,FSF Libre,OSI Approved,,License Text
Eclipse Public License 2.0,EPL-2.0,FSF Libre,OSI Approved,,License Text
Erlang Public License v1.1,ErlPL-1.1,NON-FSF Libre,NON-OSI Approved,,License Text
EU DataGrid Software License,EUDatagrid,FSF Libre,OSI Approved,,License Text
European Union Public License 1.0,EUPL-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
European Union Public License 1.1,EUPL-1.1,FSF Libre,OSI Approved,,License Text
European Union Public License 1.2,EUPL-1.2,NON-FSF Libre,OSI Approved,,License Text
Eurosym License,Eurosym,NON-FSF Libre,NON-OSI Approved,,License Text
Fair License,Fair,NON-FSF Libre,OSI Approved,,License Text
Frameworx Open License 1.0,Frameworx-1.0,NON-FSF Libre,OSI Approved,,License Text
FreeImage Public License v1.0,FreeImage,NON-FSF Libre,NON-OSI Approved,,License Text
FSF All Permissive License,FSFAP,FSF Libre,NON-OSI Approved,,License Text
FSF Unlimited License,FSFUL,NON-FSF Libre,NON-OSI Approved,,License Text
FSF Unlimited License (with License Retention),FSFULLR,NON-FSF Libre,NON-OSI Approved,,License Text
Freetype Project License,FTL,FSF Libre,NON-OSI Approved,,License Text
GNU Free Documentation License v1.1 only,GFDL-1.1-only,FSF Libre,NON-OSI Approved,,License Text
GNU Free Documentation License v1.1 or later,GFDL-1.1-or-later,FSF Libre,NON-OSI Approved,,License Text
