TCL/TK License,TCL,NON-FSF Libre,NON-OSI Approved,,License Text
TCP Wrappers License,TCP-wrappers,NON-FSF Libre,NON-OSI Approved,,License Text
TMate Open Source License,TMate,NON-FSF Libre,NON-OSI Approved,,License Text
TORQUE v2.5+ Software License v1.1,TORQUE-1.1,NON-FSF Libre,NON-OSI Approved,,License Text
Trusster Open Source License,TOSL,NON-FSF Libre,NON-OSI Approved,,License Text
Unicode License Agreement - Data Files and Software (2015),Unicode-DFS-2015,NON-FSF Libre,NON-OSI Approved,,License Text
Unicode License Agreement - Data Files and Software (2016),Unicode-DFS-2016,NON-FSF Libre,NON-OSI Approved,,License Text
Unicode Terms of Use,Unicode-TOU,NON-FSF Libre,NON-OSI Approved,,License Text
The Unlicense,Unlicense,FSF Libre,NON-OSI Approved,,License Text
Universal Permissive License v1.0,UPL-1.0,FSF Libre,OSI Approved,,License Text
Vim License,Vim,FSF Libre,NON-OSI Approved,,License Text
VOSTROM Public License for Open Source,VOSTROM,NON-FSF Libre,NON-OSI Approved,,License Text
Vovida Software License v1.0,VSL-1.0,NON-FSF Libre,OSI Approved,,License Text
W3C Software Notice and License (1998-07-20),W3C-19980720,NON-FSF Libre,NON-OSI Approved,,License Text
W3C Software Notice and Document License (2015-05-13),W3C-20150513,NON-FSF Libre,NON-OSI Approved,,License Text
W3C Software Notice and License (2002-12-31),W3C,FSF Libre,OSI Approved,,License Text
Sybase Open Watcom Public License 1.0,Watcom-1.0,NON-FSF Libre,OSI Approved,,License Text
Wsuipa License,Wsuipa,NON-FSF Libre,NON-OSI Approved,,License Text
Do What The F*ck You Want To Public License,WTFPL,FSF Libre,NON-OSI Approved,,License Text
X11 License,X11,FSF Libre,NON-OSI Approved,,License Text
Xerox License,Xerox,NON-FSF Libre,NON-OSI Approved,,License Text
XFree86 License 1.1,XFree86-1.1,FSF Libre,NON-OSI Approved,,License Text
xinetd License,xinetd,FSF Libre,NON-OSI Approved,,License Text
X.Net License,Xnet,NON-FSF Libre,OSI Approved,,License Text
XPP License,xpp,NON-FSF Libre,NON-OSI Approved,,License Text
XSkat License,XSkat,NON-FSF Libre,NON-OSI Approved,,License Text
Yahoo! Public License v1.0,YPL-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
Yahoo! Public License v1.1,YPL-1.1,FSF Libre,NON-OSI Approved,,License Text
Zed License,Zed,NON-FSF Libre,NON-OSI Approved,,License Text
Zend License v2.0,Zend-2.0,FSF Libre,NON-OSI Approved,,License Text
Zimbra Public License v1.3,Zimbra-1.3,FSF Libre,NON-OSI Approved,,License Text
Zimbra Public License v1.4,Zimbra-1.4,NON-FSF Libre,NON-OSI Approved,,License Text
zlib/libpng License with Acknowledgement,zlib-acknowledgement,NON-FSF Libre,NON-OSI Approved,,License Text
zlib License,Zlib,FSF Libre,OSI Approved,,License Text
Zope Public License 1.1,ZPL-1.1,NON-FSF Libre,NON-OSI Approved,,License Text
Zope Public License 2.0,ZPL-2.0,FSF Libre,OSI Approved,,License Text
Zope Public License 2.1,ZPL-2.1,FSF Libre,NON-OSI Approved,,License Text
